sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
208,2,2,5,4,0,0,1.635384,8.305299999999988,f5./,/
208,3,2,5,4,0,0,1.581728,12.41820000000007,f5.\,\
208,4,2,5,4,0,0,1.6158192,16.3734000000004,f5./,/
208,5,2,5,4,0,0,1.6132082,20.41109999999935,f5.=,=
208,6,2,5,4,0,0,1.582008,24.402400000000853,f5.\,\
208,7,2,5,4,0,0,1.55764,28.34720000000016,f5.\,\
208,8,2,5,4,0,0,1.5719440000000002,32.33250000000044,f5.=,=
208,9,2,5,4,0,0,1.5489164,36.336999999999534,f5.\,\
209,0,2,12,4,1,0,1.2879280000000002,0.0,m5*?,?
209,1,2,8,2,0,1,0.797631,4.532656000001225,i3.?,?
209,2,3,2,2,0,1,0.629338,4.564300000000003,c3.?,?
209,3,3,3,1,0,1,0.4861457,5.193638000000647,d2.?,?
209,4,2,1,0,0,1,0.2839384,5.330287000000681,b1.?,?
209,5,2,12,4,0,0,1.2816369,6.539899999999761,m5.?,?
209,6,2,1,0,0,0,0.3401301,7.821536899999046,b1.?,?
209,7,2,7,0,1,0,0.2181632,10.042699999999968,h1*?,?
209,8,2,5,4,0,1,1.1081663000000002,11.572899999999208,f5.?,?
209,9,3,5,3,0,1,0.9625322,13.162099999999556,f4.?,?
209,10,2,5,3,0,1,0.9780357,17.52559999999903,f4.?,?
209,11,3,8,0,0,0,0.2320272,18.65849999999955,i1.?,?
209,12,3,8,0,0,0,0.2017427,18.89052719999927,i1.\,\
209,13,3,9,0,0,0,0.2214021,19.092269900000247,j1.?,?
209,14,3,1,0,0,0,0.1316804,19.313672000000224,b1.?,?
209,15,3,1,0,1,0,0.2309872,19.445352400000047,b1*/,/
209,16,2,5,3,0,1,1.0523216000000002,24.520699999999124,f4./,/
209,17,3,8,0,0,0,0.2233759999999999,27.854699999999863,i1.?,?
209,18,3,8,0,0,0,0.2090559999999999,28.078075999999783,i1.=,=
209,19,3,9,0,0,0,0.2065199999999999,28.287131999999477,j1.?,?
209,20,3,3,0,0,0,0.158104,28.4936519999992,d1.?,?
209,21,3,1,0,0,0,0.155944,28.651755999999292,b1.?,?
209,22,3,1,0,0,1,0.361472,28.807699999999382,b1./,/
209,23,2,5,3,0,0,1.0466968,29.73350000000028,f4.=,=
209,24,2,5,3,0,1,1.0183704,34.17579999999907,f4.\,\
209,25,3,8,0,0,0,0.2148454,34.952400000000125,i1.?,?
209,26,3,8,0,0,0,0.2063642,35.16724539999996,i1.=,=
209,27,3,9,0,0,0,0.205518,35.37360959999933,j1.?,?
209,28,3,3,0,0,0,0.158656,35.57912759999999,d1.?,?
209,29,3,1,0,0,0,0.155152,35.7377835999996,b1.?,?
209,30,3,1,0,0,1,0.383552,35.89293560000078,b1./,/
209,31,2,5,3,0,1,1.0641878,42.36279999999897,f4./,/
209,32,3,5,3,0,1,1.0758891,42.67709999999897,f4.?,?
209,33,2,5,4,0,1,1.1191799,48.89569999999912,f5.?,?
209,34,3,5,4,0,1,1.1058088,49.34559999999874,f5.?,?
209,35,2,5,4,0,1,1.1310184,56.69759999999951,f5.=,=
209,36,3,5,4,0,1,1.1274668,56.829899999998815,f5./,/
209,37,2,5,4,0,1,1.1077444,61.15179999999964,f5.\,\
209,38,3,5,4,0,1,1.1439582,63.58050000000003,f5.=,=
209,39,2,12,4,0,0,1.3081443,71.04290000000037,m5.?,?
210,0,2,8,0,0,0,0.2612657,0.0,i1.?,?
210,1,2,1,0,0,0,0.1054279,0.2612656999990577,b1.?,?
210,2,2,8,0,0,0,0.2713663,5.327199999999721,i1.?,?
210,3,2,1,0,0,0,0.1079525,5.59856629999922,b1.?,?
210,4,2,8,0,0,0,0.277901,11.313000000000102,i1.?,?
210,5,2,1,0,0,0,0.1082217,11.590900999999576,b1.?,?
210,6,2,8,0,0,0,0.2706995,18.862299999998868,i1.?,?
